,id,subclass,site,page_url,title,issue_time,creation_time,end_time,province_name,city_name,purchase_type,business_type,minor_business_type,status
12,3750514,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=897ce952-2b98-4c60-a822-08d909e02ba6,新风码头边检执勤用房临迁项目家具及电器采购竞争性磋商公告,2021-04-28 20:37:52,2021-04-29 16:50:28,2021-04-29 16:50:28,广东省,广州市,竞争性磋商,,,0
13,3750515,单一来源采购公告,cgpt.sotcbb.com,https://cgpt.sotcbb.com/detail1?dyly&qczbcg_szcg_b1556618-fe52-4ce5-9298-69929b92b11f.html,2021届春季校园招聘合同单一来源采购公告,2021-04-14 00:00:00,2021-04-29 16:50:30,2021-04-29 16:50:30,,,,服务,,0
14,3750516,招标信息公告,www.gdebidding.com,https://www.gdebidding.com/zbxxgg/91708.jhtml,广东广垦油茶有限公司、永州市广垦油茶科技有限公司、广东农垦鸡山农场有限公司政策性农业（油茶树种植）保险项目招标公告,2021-04-29 00:00:00,2021-04-29 16:50:30,2021-04-29 16:50:30,,,,,,0
15,3750517,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=52488833-6aa3-4d84-a826-08d909e02ba6,2021年度白云边检站药品采购竞争性磋商公告,2021-04-28 20:53:51,2021-04-29 16:50:31,2021-04-29 16:50:31,广东省,广州市,竞争性磋商,,,0
16,3750518,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbhxrgs/1200287592.jhtml,2021-2022年“测训练”一体培养项目[0002200000080282]流标公告,2021-04-28 00:00:00,2021-04-29 16:50:32,2021-04-29 16:50:32,贵州电网公司,,,货物,,0
17,3750519,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40374,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:50:32,2021-04-29 16:50:32,,,,,其他,0
18,3750520,招标信息公告,www.gdebidding.com,https://www.gdebidding.com/zbxxgg/91706.jhtml,广汽乘用车有限公司A88车型焊装夹具项目（子包7：门盖手工线及装配线焊装夹具）招标公告,2021-04-29 00:00:00,2021-04-29 16:50:33,2021-04-29 16:50:33,,,,,,0
19,3750521,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=83ad7252-575f-48d0-3d34-08d90aaddccc,中国邮政储蓄银行汕头市陈店支行网点装修工程邀请招标公告,2021-04-29 10:15:01,2021-04-29 16:50:34,2021-04-29 16:50:34,广东省,汕头市,邀请招标,,,0
20,3750522,结果公示,cgpt.sotcbb.com,https://cgpt.sotcbb.com/detail1?cjgg&qczbcg_szcg_7a0c995c-d1e5-472b-8592-fa8dfa88f235.html,1、2、5、7、9、11号线部分车型架大修物资采购项目第19包,2021-04-27 00:00:00,2021-04-29 16:50:34,2021-04-29 16:50:34,,,,货物,,0
21,3750523,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbhxrgs/1200287591.jhtml,云南电网有限责任公司2021年授权文山供电局采购第一批工程类专项公开招标项目结果公告,2021-04-28 00:00:00,2021-04-29 16:50:36,2021-04-29 16:50:36,贵州电网公司,,,货物,,0
22,3750524,采购需求公示,www.szzfcg.cn,http://www.szzfcg.cn/portal/documentView.do?method=view&id=935730918,多组学实验平台采购项目需求公示,2021-04-27 17:25:14,2021-04-29 16:50:37,2021-04-29 16:50:37,,,,,,0
23,3750525,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40376,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:50:37,2021-04-29 16:50:37,,,,,其他,0
24,3750526,招标信息公告,www.gdebidding.com,https://www.gdebidding.com/zbxxgg/91705.jhtml,广汽乘用车有限公司A88车型焊装夹具项目（子包6：门盖滚边站焊装夹具）招标公告,2021-04-29 00:00:00,2021-04-29 16:50:37,2021-04-29 16:50:37,,,,,,0
25,3750527,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=23a4f4c6-40b1-496c-a819-08d909e02ba6,牙科手机器械清洗消毒机招标公告,2021-04-28 18:13:09,2021-04-29 16:50:37,2021-04-29 16:50:37,广东省,深圳市,公开招标,,,0
26,3750528,结果公示,cgpt.sotcbb.com,https://cgpt.sotcbb.com/detail1?cjgg&qczbcg_szcg_0358f0de-65b2-4716-bcf6-3f3ec0d4bfc6.html,1、2、5、7、9、11号线部分车型架大修物资采购项目第24包,2021-04-27 00:00:00,2021-04-29 16:50:38,2021-04-29 16:50:38,,,,货物,,0
27,3750529,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40375,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:50:39,2021-04-29 16:50:39,,,,,其他,0
28,3750530,招标公告,www.gzebid.cn,https://www.gzebid.cn/web-detail/frontDetail?articleId=9243893052e2435e92a5333b4423c2a5,江苏中车电机广东阳江海上风电基地项目（一期）设备基础工程-重新招标-公开招标公告,2021-04-29 16:51:00,2021-04-29 16:50:39,2021-04-29 16:50:39,,,,,,0
29,3750531,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/fzbgg/1200287589.jhtml,调峰调频公司2021年4月公开竞争性谈判项目（梅蓄捞渣船、梅蓄及惠蓄生态鱼苗）采购公告,2021-04-28 00:00:00,2021-04-29 16:50:39,2021-04-29 16:50:39,贵州电网公司,,,货物,,0
30,3750532,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=7195de37-9167-405e-a81a-08d909e02ba6,深圳市市场监督管理局组织人事信息整理维护服务项目招标公告,2021-04-28 18:14:07,2021-04-29 16:50:40,2021-04-29 16:50:40,广东省,深圳市,询价,,,0
31,3750533,采购需求公示,www.szzfcg.cn,http://www.szzfcg.cn/portal/documentView.do?method=view&id=935679240,多组学实验平台采购项目需求公示,2021-04-27 17:25:14,2021-04-29 16:50:40,2021-04-29 16:50:40,,,,,,0
32,3750534,招标信息公告,www.gdebidding.com,https://www.gdebidding.com/zbxxgg/91704.jhtml,广汽乘用车有限公司A88车型焊装夹具项目（子包5：车身线焊装夹具）招标公告,2021-04-29 00:00:00,2021-04-29 16:50:41,2021-04-29 16:50:41,,,,,,0
33,3750535,招标公告,www.gzebid.cn,https://www.gzebid.cn/web-detail/frontDetail?articleId=b4229285907d4b4c9d3442ea7d6b18eb,沙角C电厂废旧金属回收处理_2021.7.1-2023.6.30_-公开招标公告,2021-04-28 18:54:00,2021-04-29 16:50:43,2021-04-29 16:50:43,,,,,,0
34,3750536,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/fzbgg/1200287588.jhtml,调峰调频公司西部单位标识、锁具类公开竞争性谈判采购项目（天二安健环设施制作及维修、鲁厂文化墙布置、鲁厂锁具管理系统）采购公告,2021-04-28 00:00:00,2021-04-29 16:50:43,2021-04-29 16:50:43,贵州电网公司,,,货物,,0
35,3750537,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40378,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:50:43,2021-04-29 16:50:43,,,,,其他,0
36,3750538,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=4b41c15e-b18a-430e-a81b-08d909e02ba6,企业职业技能等级认定监督管理服务工作招标公告,2021-04-28 18:17:48,2021-04-29 16:50:44,2021-04-29 16:50:44,广东省,深圳市,公开招标,,,0
37,3750539,采购需求公示,www.szzfcg.cn,http://www.szzfcg.cn/portal/documentView.do?method=view&id=935729002,多组学实验平台采购项目需求公示,2021-04-27 17:25:14,2021-04-29 16:50:44,2021-04-29 16:50:44,,,,,,0
38,3750540,招标信息公告,www.gdebidding.com,https://www.gdebidding.com/zbxxgg/91707.jhtml,广汽乘用车有限公司A88车型综合检具及开口部检具项目招标公告,2021-04-29 00:00:00,2021-04-29 16:50:45,2021-04-29 16:50:45,,,,,,0
39,3750541,招投标服务网公告,cgpt.sotcbb.com,https://cgpt.sotcbb.com/gzjgdetails?ztbfww-5a8b8a71499b42a28c03ad5fe63e9b92, 既有城市工业区功能提升综合信息监管平台——生态与资源数据深度处理模块代码开发项目结果公示,2021-04-14 00:00:00,2021-04-29 16:50:45,2021-04-29 16:50:45,,,,,,0
40,3750542,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=11ebad4f-d152-4673-a81c-08d909e02ba6,广东金融学院清远校区（首期）建设工程规划验收测量服务项目实行单一来源采购方式的公示,2021-04-28 18:20:17,2021-04-29 16:50:47,2021-04-29 16:50:47,广东省,清远市,单一来源采购,,,0
41,3750543,招标公告,www.gzebid.cn,https://www.gzebid.cn/web-detail/frontDetail?articleId=6fd53770068f4fc8b5394d95224a6f6a,广州信息投资有限公司2021年度道路“品质提升”智慧灯杆项目杆体及配套安装采购-公开招标公告,2021-04-29 09:12:00,2021-04-29 16:50:47,2021-04-29 16:50:47,,,,,,0
42,3750544,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbhxrgs/1200287587.jhtml,南方电网调峰调频发电有限公司2021年3月服务类公开招标采购批次（修试闸门与启闭机安全监测、文昌电厂技术监督）结果公示,2021-04-28 00:00:00,2021-04-29 16:50:47,2021-04-29 16:50:47,贵州电网公司,,,货物,,0
43,3750545,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40377,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:50:47,2021-04-29 16:50:47,,,,,其他,0
44,3750546,招投标服务网公告,cgpt.sotcbb.com,https://cgpt.sotcbb.com/gzjgdetails?ztbfww-0fe0b39a6be2407a949419d19c860a46,深圳市建筑科学研究院股份有限公司资产评估机构预选库招标结果公示,2021-04-14 00:00:00,2021-04-29 16:50:49,2021-04-29 16:50:49,,,,,,0
45,3750547,采购需求公示,www.szzfcg.cn,http://www.szzfcg.cn/portal/documentView.do?method=view&id=935626320,多组学实验平台采购项目需求公示,2021-04-27 17:25:14,2021-04-29 16:50:49,2021-04-29 16:50:49,,,,,,0
46,3750548,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbhxrgs/1200287604.jhtml,云南电力调度控制中心2021年科技项目第一批专项集中采购（公开招标部分）[0002200000081246]-变更文件-招标1,2021-04-28 00:00:00,2021-04-29 16:50:49,2021-04-29 16:50:49,贵州电网公司,,,货物,,0
47,3750549,招标信息公告,www.gdebidding.com,https://www.gdebidding.com/zbxxgg/91702.jhtml,广汽乘用车有限公司A88车型焊装夹具项目（子包3：侧围顶盖线焊装夹具）招标公告,2021-04-29 00:00:00,2021-04-29 16:50:49,2021-04-29 16:50:49,,,,,,0
48,3750550,招标公告,www.szjsjy.com.cn,https://www.szjsjy.com.cn:8001/jyw/jyw/zbGongGao_View.do?ggguid=2c9e8ac278b115ad01791b75b50d6b16,前海合作区临海桂湾河桥工程监理服务,2021-04-29 15:00:00,2021-04-29 16:50:49,2021-04-29 16:50:49,,,,,,0
49,3750551,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=4359d02e-813f-4421-a815-08d909e02ba6,实验室耗材（标品试剂类）采购项目招标公告,2021-04-28 17:58:08,2021-04-29 16:50:50,2021-04-29 16:50:50,广东省,深圳市,公开招标,,,0
50,3750552,招标公告,www.gzebid.cn,https://www.gzebid.cn/web-detail/frontDetail?articleId=2d1eac5d60af4d709b9ea7177dfb420d,广州银行股份有限公司深圳分行网点物体防范达标改造项目-公开招标公告,2021-04-29 10:19:00,2021-04-29 16:50:51,2021-04-29 16:50:51,,,,,,0
51,3750553,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40380,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:50:51,2021-04-29 16:50:51,,,,,其他,0
52,3750554,采购需求公示,www.szzfcg.cn,http://www.szzfcg.cn/portal/documentView.do?method=view&id=935679131,多组学实验平台采购项目需求公示,2021-04-27 17:25:14,2021-04-29 16:50:52,2021-04-29 16:50:52,,,,,,0
53,3750555,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbgg/1200287586.jhtml,广西电网公司2021年第二批人资专业2022年度新员工招聘服务公开专项招标采购项目招标公告,2021-04-28 00:00:00,2021-04-29 16:50:52,2021-04-29 16:50:52,贵州电网公司,,,货物,,0
54,3750556,招投标服务网公告,cgpt.sotcbb.com,https://cgpt.sotcbb.com/gzjgdetails?ztbfww-89283d4260c14f0f9a615221bb8b960f,河北雄安绿研检验认证有限公司钢结构构件及配套钢结构设备采购项目结果公示,2021-04-14 00:00:00,2021-04-29 16:50:52,2021-04-29 16:50:52,,,,,,0
55,3750557,招标公告,www.szjsjy.com.cn,https://www.szjsjy.com.cn:8001/jyw/jyw/zbGongGao_View.do?ggguid=2c9e8ac278b115ad017912a1457c5bf1,深圳市城市轨道交通13号线、13号线共建管廊、科苑大道地下空间工程结算咨询项目,2021-04-29 09:00:00,2021-04-29 16:50:52,2021-04-29 16:50:52,,,,,,0
56,3750558,招标信息公告,www.gdebidding.com,https://www.gdebidding.com/zbxxgg/91701.jhtml,广汽乘用车有限公司A88车型焊装夹具项目（子包2：地板总成线焊装夹具）招标公告,2021-04-29 00:00:00,2021-04-29 16:50:53,2021-04-29 16:50:53,,,,,,0
57,3750559,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=545f557c-46c2-4410-a816-08d909e02ba6,实验室耗材（仪器配件类）采购项目招标公告,2021-04-28 17:59:40,2021-04-29 16:50:54,2021-04-29 16:50:54,广东省,深圳市,公开招标,,,0
58,3750560,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40379,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:50:55,2021-04-29 16:50:55,,,,,其他,0
59,3750561,招标公告,www.gzebid.cn,https://www.gzebid.cn/web-detail/frontDetail?articleId=83da550e35524608a3c2224b30e58d8c,普宁市广业环保能源有限公司汽车租赁项目-竞争性谈判公告,2021-04-29 16:01:00,2021-04-29 16:50:55,2021-04-29 16:50:55,,,,,,0
60,3750562,招投标服务网公告,cgpt.sotcbb.com,https://cgpt.sotcbb.com/gzjgdetails?ztbfww-d8db5f0c56e648ea94c94eb0da99e27e,河北雄安绿研检验认证有限公司千斤顶设备采购结果公示,2021-04-14 00:00:00,2021-04-29 16:50:56,2021-04-29 16:50:56,,,,,,0
61,3750563,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/fzbgg/1200287585.jhtml,广西电网公司桂林供电局2021年第一批财务专业会计基础服务公开询价采购项目(二次采购)采购公告,2021-04-28 00:00:00,2021-04-29 16:50:56,2021-04-29 16:50:56,贵州电网公司,,,货物,,0
62,3750564,采购需求公示,www.szzfcg.cn,http://www.szzfcg.cn/portal/documentView.do?method=view&id=935568071,多组学实验平台采购项目需求公示,2021-04-27 17:25:14,2021-04-29 16:50:56,2021-04-29 16:50:56,,,,,,0
63,3750565,招标信息公告,www.gdebidding.com,https://www.gdebidding.com/zbxxgg/91700.jhtml,广汽乘用车有限公司A88车型焊装夹具项目（子包1：地板分总成线焊装夹具）招标公告,2021-04-29 00:00:00,2021-04-29 16:50:57,2021-04-29 16:50:57,,,,,,0
64,3750566,招标公告,www.szjsjy.com.cn,https://www.szjsjy.com.cn:8001/jyw/jyw/zbGongGao_View.do?ggguid=2c9e8ac278b115ad0179129fcda05be9,深圳市城市轨道交通12号线、12号线共建管廊工程结算咨询项目,2021-04-29 09:00:00,2021-04-29 16:50:57,2021-04-29 16:50:57,,,,,,0
65,3750567,招投标服务网公告,cgpt.sotcbb.com,https://cgpt.sotcbb.com/gzjgdetails?ztbfww-11076d33de95493eb8d35a0ca7861068,深圳市建筑科学研究院股份有限公司既有城市工业区功能提升综合信息监管平台——生态与资源数据深度处理模块代码开发项目结果公示,2021-04-14 00:00:00,2021-04-29 16:50:58,2021-04-29 16:50:58,,,,,,0
66,3750568,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=c2b5ae60-0669-4f34-a817-08d909e02ba6,医院DRG精细化管理系统招标公告,2021-04-28 18:02:40,2021-04-29 16:50:58,2021-04-29 16:50:58,广东省,深圳市,公开招标,,,0
67,3750569,招标公告,www.gzebid.cn,https://www.gzebid.cn/web-detail/frontDetail?articleId=d6846f5be336465caa8afd1ff4d486c7,广州工程技术职业学院工业机器人技术专业群实训室采购项目-竞争性磋商公告,2021-04-29 16:05:00,2021-04-29 16:50:58,2021-04-29 16:50:58,,,,,,0
68,3750570,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40381,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:50:59,2021-04-29 16:50:59,,,,,其他,0
69,3750571,招标信息公告,www.gdebidding.com,https://www.gdebidding.com/zbxxgg/91703.jhtml,广汽乘用车有限公司A88车型焊装夹具项目（子包4：顶盖滚边站焊装夹具）招标公告,2021-04-29 00:00:00,2021-04-29 16:50:59,2021-04-29 16:50:59,,,,,,0
70,3750572,采购需求公示,www.szzfcg.cn,http://www.szzfcg.cn/portal/documentView.do?method=view&id=935596741,多组学实验平台采购项目需求公示,2021-04-27 17:25:14,2021-04-29 16:51:00,2021-04-29 16:51:00,,,,,,0
71,3750573,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbhxrgs/1200287603.jhtml,输电线路自动化监控指挥系统增加物联网平台接口结果公告,2021-04-28 00:00:00,2021-04-29 16:51:00,2021-04-29 16:51:00,贵州电网公司,,,货物,,0
72,3750574,招标公告,www.szjsjy.com.cn,https://www.szjsjy.com.cn:8001/jyw/jyw/zbGongGao_View.do?ggguid=2c9e8ac278b115ad017912557d3159dc,南山外国语文华学校改扩建项目和南山外国语科苑小学（二期）改扩建项目体育工艺设施采购及安装（二次）,2021-04-29 09:00:00,2021-04-29 16:51:00,2021-04-29 16:51:00,,,,,,0
73,3750575,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=c6ecba90-2a18-4b4a-a818-08d909e02ba6,脉动真空灭菌器等一批设备招标公告,2021-04-28 18:10:46,2021-04-29 16:51:01,2021-04-29 16:51:01,广东省,深圳市,公开招标,,,0
74,3750576,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbhxrgs/1200287561.jhtml,湛江供电局2021-2022年员工体检项目[0002200000080629]流标公告,2021-04-28 00:00:00,2021-04-29 16:51:02,2021-04-29 16:51:02,贵州电网公司,,,货物,,0
75,3750577,变更公告,cgpt.sotcbb.com,https://cgpt.sotcbb.com/detail1?bggg&1122.html,凝泵入口电动蝶阀,2021-04-12 00:00:00,2021-04-29 16:51:02,2021-04-29 16:51:02,,,,货物,,0
76,3750578,招标信息公告,www.gdebidding.com,https://www.gdebidding.com/zbxxgg/91693.jhtml,南方医科大学珠江医院荧光定量PCR系统采购及相关服务项目招标公告,2021-04-29 00:00:00,2021-04-29 16:51:02,2021-04-29 16:51:02,,,,,,0
77,3750579,招标公告,www.gzebid.cn,https://www.gzebid.cn/web-detail/frontDetail?articleId=70c236ea46b14d2aa1d7c5d741b86d9f,2021年东莞宁洲厂址替代电源安保项目-公开招标公告,2021-04-29 16:16:00,2021-04-29 16:51:02,2021-04-29 16:51:02,,,,,,0
78,3750580,招标公告,www.szjsjy.com.cn,https://www.szjsjy.com.cn:8001/jyw/jyw/zbGongGao_View.do?ggguid=2c9e8ac278b115ad01791240615d597c,华润电力智慧能源研发中心项目人防设备采购及安装工程,2021-04-29 09:00:00,2021-04-29 16:51:03,2021-04-29 16:51:03,,,,,,0
79,3750581,采购需求公示,www.szzfcg.cn,http://www.szzfcg.cn/portal/documentView.do?method=view&id=935055840,多组学实验平台采购项目需求公示,2021-04-27 17:25:14,2021-04-29 16:51:03,2021-04-29 16:51:03,,,,,,0
80,3750582,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40382,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:51:04,2021-04-29 16:51:04,,,,,其他,0
81,3750583,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=c4404176-83c6-4ce9-a80f-08d909e02ba6,食堂厨房设备采购服务项目招标公告,2021-04-28 17:28:22,2021-04-29 16:51:04,2021-04-29 16:51:04,广东省,深圳市,公开招标,,,0
82,3750584,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbhxrgs/1200287559.jhtml,2021年广州供电局第一批综合域信息化项目（法律内控管理、员工健康数字化应用、信息化建设管控体系完善）结果公告,2021-04-28 00:00:00,2021-04-29 16:51:05,2021-04-29 16:51:05,贵州电网公司,,,货物,,0
83,3750585,招标信息公告,www.gdebidding.com,https://www.gdebidding.com/zbxxgg/91692.jhtml,南方医科大学珠江医院基因分析仪采购及相关服务项目招标公告,2021-04-29 00:00:00,2021-04-29 16:51:06,2021-04-29 16:51:06,,,,,,0
84,3750586,招标公告,www.gzebid.cn,https://www.gzebid.cn/web-detail/frontDetail?articleId=fc788f74afba48f289154426d8c654ff,暨南大学2021年电动巡逻车等校园交通设施设备采购项目-公开招标公告,2021-04-28 15:30:00,2021-04-29 16:51:06,2021-04-29 16:51:06,,,,,,0
85,3750587,招标公告,www.szjsjy.com.cn,https://www.szjsjy.com.cn:8001/jyw/jyw/zbGongGao_View.do?ggguid=2c9e8ac278b115ad01790d8068e954a1,前海合作区区域集中供冷项目6号供冷站（一期）安装工程监理,2021-04-29 09:00:00,2021-04-29 16:51:06,2021-04-29 16:51:06,,,,,,0
86,3750588,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40384,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:51:06,2021-04-29 16:51:06,,,,,其他,0
87,3750589,招投标服务网公告,cgpt.sotcbb.com,https://cgpt.sotcbb.com/gzjgdetails?ztbfww-7cd5509ec0384ac79fed88c0faf5f203,深圳市建筑科学研究院股份有限公司管理培训服务项目,2021-04-13 00:00:00,2021-04-29 16:51:06,2021-04-29 16:51:06,,,,,,0
88,3750590,招标采购信息公告,www.chinapsp.cn,http://www.chinapsp.cn/notice_content.html?itemid=c75b362c-1842-4fb4-a810-08d909e02ba6,深圳市光明区消防救援大队劳务派遣服务招标公告,2021-04-28 17:36:39,2021-04-29 16:51:07,2021-04-29 16:51:07,广东省,深圳市,公开招标,,,0
89,3750591,采购需求公示,www.szzfcg.cn,http://www.szzfcg.cn/portal/documentView.do?method=view&id=935560532,多组学实验平台采购项目需求公示,2021-04-27 17:25:14,2021-04-29 16:51:07,2021-04-29 16:51:07,,,,,,0
90,3750592,非招标公告,www.bidding.csg.cn,http://www.bidding.csg.cn/zbhxrgs/1200287558.jhtml,电网管理平台（个性化业务组件及应用）建设（离线存储等共享服务组件研发建设）、电网管理平台（个性化业务组件及应用）建设（车辆物业数据分析可视化建设）项目结果公告,2021-04-28 00:00:00,2021-04-29 16:51:08,2021-04-29 16:51:08,贵州电网公司,,,货物,,0
91,3750593,招标公告,www.tobaccobid.com,https://search.tobaccobid.com/detailTenderpublic.action?id=40383,重庆中烟工业有限责任公司重庆卷烟厂1#变压器谐波滤波器改造,2021-04-29 00:00:00,2021-04-29 16:51:09,2021-04-29 16:51:09,,,,,其他,0
